,System_experimental,Delta G_experimental,G_SEM_experimental,Delta G_smirnoff,G_SEM_smirnoff,Delta G_bgbg,G_SEM_bgbg,Delta G_bg2bg2,G_SEM_bg2bg2
13,a-mba,-1.76,0.02,-1.2179375110140678,0.3012575918324878,-0.8929744629138011,0.24610658935562724,-3.1690511462095623,0.23310141665098785
14,a-mha,-3.6,0.0,-3.601323298803188,0.2861556169771217,-2.8893208697137016,0.17420174025281135,-5.551635375436626,0.21643249157697048
15,a-mhp,-4.17,0.0,-3.976665906227678,0.2900696868752801,-3.81515793602376,0.18860316334812413,-6.22877335072596,0.20656372124299302
16,a-nmb,-1.69,0.02,-1.9541555642928183,0.4163702668289227,-0.8313913835129478,0.1832593422668249,-2.7364357498994685,0.2134182243408076
17,a-nmh,-3.52,0.01,-4.154132895432891,0.5916159805054776,-2.919453440223013,0.18019275608738688,-5.558006418790921,0.19479782219687555
18,a-oam,-4.61,0.01,-4.6799378130767915,0.4921580102655901,-4.327247666159511,0.17443289101177764,-6.992210308978145,0.1937740936626022
19,a-oct,-4.62,0.02,-4.6358172116454845,0.2981213932297435,-4.846244401856152,0.2438707602793321,-6.8105050723063485,0.18708396743894085
20,a-pam,-2.72,0.0,-2.661854119997616,0.7714043850574188,-1.5273055194930356,0.18055726203649688,-4.002600050049321,0.230070133657796
21,a-pnt,-2.6,0.01,-2.562715645056848,0.2262897957770695,-1.740592248703252,0.19061103445945649,-4.142980757158536,0.1862129195417103
22,b-ben,-1.64,0.02,-2.847791287295553,0.6153562849054367,-1.8301197607712785,0.29250945517058385,-2.4451524821849686,0.17089129092142866
23,b-cbu,-1.55,0.17,-1.8764784587314816,0.1999442853548116,-1.6415580619760408,0.3566157499336487,-2.7698835021852117,0.1675993916882687
24,b-chp,-4.56,0.01,-3.075089029256948,0.2489826038565486,-2.792118829493451,0.3363335043727065,-6.2656776689296905,0.2250259599968812
25,b-coc,-4.97,0.04,-3.2790477243162237,0.22925969419594125,-3.3613849000505027,0.2553920727353309,-7.131235206174964,0.21856519275264144
26,b-cpe,-3.05,0.01,-3.5744950566533835,0.3401413496030322,-3.549524213869148,0.3148941791939707,-5.925335462133959,0.26519595458810724
27,b-ham,-2.49,0.08,-2.5246673578447307,0.19825830316812784,-2.007687810450028,0.258945441367858,-4.137619341481631,0.1883753140506089
28,b-hep,-3.39,0.18,-3.4086031866636235,0.2780942581105479,-3.3416671708647243,0.3458883796084493,-4.147931073938293,0.22876163834690505
29,b-hex,-2.28,0.03,-2.9282834541697254,0.2490492796985872,-2.4697093857541206,0.2730117746251598,-3.5938586795209684,0.16755979721625752
30,b-m4c,-4.32,0.01,-2.8893013120486812,0.2359580062138133,-2.677580122850984,0.2895306509838613,-5.641298377800378,0.2193568428614557
31,b-m4t,-4.54,0.01,-3.8244972536752218,0.19140367403083064,-3.5030111988607198,0.2614692125224787,-6.330190633607527,0.16794669725614886
32,b-mch,-4.18,0.01,-3.6903782144098454,0.21822484232460929,-3.3094740843670465,0.2638051348528485,-6.074067433034125,0.1667972158636234
33,b-mha,-2.56,0.07,-3.4620551317285897,0.23924994030805244,-2.136472137845532,0.27671843782915684,-4.659270747413307,0.18380356022920533
34,b-mo3,-2.16,0.01,-2.8692343749875464,0.3763005716274949,-2.7338134973289168,0.4135756728547392,-2.794501336083882,0.19619388682667066
35,b-mo4,-2.51,0.01,-4.18584197846611,0.40865317211447694,-3.0996123208195563,0.3090553718411446,-3.494232129517691,0.2067237670166332
36,b-mp3,-1.46,0.04,-3.033093457499551,0.27473335784402203,-2.479428381050297,0.2780515685281358,-2.9981258554991013,0.1894213411177149
37,b-mp4,-2.19,0.01,-3.0227875676450244,0.31717017532526864,-2.7744812646978962,0.3398584578088139,-3.0557316607442826,0.20689738008982714
38,b-oam,-3.59,0.12,-3.350551654685271,0.2834479486860149,-2.5996372067208364,0.3025976826712721,-5.245263191229233,0.2337208333202057
39,b-pb3,-3.52,0.01,-3.48682190694403,0.3178822089127847,-2.8675670507405444,0.2981805332108672,-4.583314161292624,0.17118474081063645
40,b-pb4,-3.6,0.02,-3.6215795373585684,0.3309848352624597,-3.335087499966696,0.3548366037849212,-4.7139726500878725,0.22709086504066256
41,b-pha,-1.7,0.05,-3.238191011734896,0.31413876042441224,-2.5494574301575916,0.2876606636789531,-3.979594646971838,0.1930980554629376
42,b-pnt,-1.27,0.32,-2.224236460127965,0.2478422017450635,-1.7348287729893308,0.29121463346387505,-2.003900500984951,0.16410647193587172
